Deutscher Name	Lateinischer Name	Wachstumsgradtage (Schwellenwert 10 C)min[WGT]	max[WGT]
Hamamelis	Hamamelis spp. 	1
Rotahorn	Acer rubrum 	1	27
Forsythie	Forsythia	1	27
Zuckerahorn	Acer saccharum 	1	27
Spitzahorn	Acer platanoides 	30	50
Esche	Fraxinus americana 	30	50
Apfelbaum	Malus spp. 	50	80
Gemeiner Gingster	Cytissus scoparius 	50	80
Rosskastanie	Aesculus hippocastanum 	80	110
Gemeiner Flieder	Syringa vulgaris 	80	110
Robinie	Robinia pseudoacacia 	140	160
Trompetenbaum	Catalpa speciosa 	250	330
Liguster	Ligustrum spp. 	330	400
Holunder	Sambucus canadensis 	330	400
Blutweiderich	Lythrum salicaria 	400	450
Essigbaum	Rhus typhina 	450	500
Sommerflieder	Buddleia davidii 	550	650
