,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
0,01.01.2015,"2,2 °C","Min. 23:551,3 °C","Max. 14:303,7 °C",93 %,Min. 14:4090 %,Max. 01:3594 %,"1036,8 hPa","Min. 23:551034,8 hPa","Max. 09:201039,2 hPa","4,2 l/m²","Max. 01:000,2 l/m²","0,4 km/h (0 Bft)","Max. 20:053,4 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"1,1 °C","Max. 14:352,4 °C","Min. 23:550,1 °C","2,2 °C","Max. 14:353,7 °C","Min. 23:551,3 °C","2,3 km/h (1 Bft)","Max. 20:1011,3 km/h (2 Bft)"
1,02.01.2015,"1,7 °C","Min. 05:15-0,6 °C","Max. 19:403,7 °C",93 %,Min. 08:5087 %,Max. 18:3596 %,"1032,8 hPa","Min. 10:001030,7 hPa","Max. 23:501035,9 hPa","7,4 l/m²","Max. 11:002,4 l/m²","1,9 km/h (1 Bft)","Max. 07:356,2 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"0,7 °C","Max. 18:503,0 °C","Min. 05:15-1,7 °C","1,6 °C","Max. 18:503,6 °C","Min. 05:15-0,6 °C","7,1 km/h (2 Bft)","Max. 06:5519,3 km/h (3 Bft)"
2,03.01.2015,"2,1 °C","Min. 15:000,7 °C","Max. 11:103,5 °C",96 %,Min. 00:0095 %,Max. 00:5596 %,"1026,3 hPa","Min. 19:151014,8 hPa","Max. 00:351036,1 hPa","19,0 l/m²","Max. 12:550,4 l/m²","0,9 km/h (0 Bft)","Max. 22:057,0 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"1,5 °C","Max. 11:102,9 °C","Min. 15:00-0,0 °C","2,1 °C","Max. 11:103,5 °C","Min. 15:000,7 °C","4,4 km/h (1 Bft)","Max. 21:3522,5 km/h (4 Bft)"
3,04.01.2015,"2,2 °C","Min. 07:00-0,1 °C","Max. 15:054,6 °C",95 %,Min. 16:1591 %,Max. 00:00100 %,"1032,6 hPa","Min. 00:001023,4 hPa","Max. 22:201037,7 hPa","0,6 l/m²","Max. 05:250,2 l/m²","0,2 km/h (0 Bft)","Max. 11:002,9 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"1,4 °C","Max. 15:054,0 °C","Min. 07:00-0,7 °C","2,2 °C","Max. 15:054,6 °C","Min. 07:00-0,1 °C","1,6 km/h (1 Bft)","Max. 11:008,0 km/h (2 Bft)"
4,05.01.2015,"1,3 °C","Min. 23:50-2,3 °C","Max. 14:156,1 °C",89 %,Min. 14:4574 %,Max. 08:5595 %,"1033,9 hPa","Min. 23:501029,4 hPa","Max. 00:351037,5 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,4 km/h (0 Bft)","Max. 11:102,5 km/h (1 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-0,4 °C","Max. 13:002,7 °C","Min. 23:50-3,4 °C","1,3 °C","Max. 14:156,1 °C","Min. 23:50-2,3 °C","2,3 km/h (1 Bft)","Max. 01:458,0 km/h (2 Bft)"
5,06.01.2015,"-2,3 °C","Min. 07:30-4,4 °C","Max. 23:55-0,6 °C",94 %,Min. 00:0092 %,Max. 09:5595 %,"1026,3 hPa","Min. 16:101024,4 hPa","Max. 00:001029,4 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,1 km/h (0 Bft)","Max. 22:152,5 km/h (1 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","15,9 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"-3,1 °C","Max. 23:55-1,3 °C","Min. 07:35-5,4 °C","-2,3 °C","Max. 23:55-0,6 °C","Min. 07:35-4,4 °C","0,9 km/h (0 Bft)","Max. 22:358,0 km/h (2 Bft)"
6,07.01.2015,"1,9 °C","Min. 00:00-0,5 °C","Max. 13:553,5 °C",94 %,Min. 14:2091 %,Max. 08:2596 %,"1030,4 hPa","Min. 00:001026,9 hPa","Max. 17:451032,1 hPa","0,4 l/m²","Max. 05:150,2 l/m²","0,6 km/h (0 Bft)","Max. 02:352,5 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"1,0 °C","Max. 12:202,6 °C","Min. 00:00-1,2 °C","1,9 °C","Max. 13:553,5 °C","Min. 00:00-0,5 °C","3,8 km/h (1 Bft)","Max. 08:159,7 km/h (2 Bft)"
7,08.01.2015,"6,2 °C","Min. 00:001,5 °C","Max. 21:459,2 °C",92 %,Min. 22:3579 %,Max. 10:1596 %,"1027,7 hPa","Min. 16:451023,4 hPa","Max. 23:551032,0 hPa","6,0 l/m²","Max. 08:400,4 l/m²","2,7 km/h (1 Bft)","Max. 22:008,4 km/h (2 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"5,0 °C","Max. 20:307,8 °C","Min. 00:000,6 °C","6,2 °C","Max. 21:459,2 °C","Min. 00:001,5 °C","10,1 km/h (2 Bft)","Max. 20:3027,4 km/h (5 Bft)"
8,09.01.2015,"8,5 °C","Min. 02:405,6 °C","Max. 23:5011,2 °C",88 %,Min. 10:3079 %,Max. 20:2096 %,"1025,6 hPa","Min. 22:151018,3 hPa","Max. 00:501032,3 hPa","5,2 l/m²","Max. 20:300,6 l/m²","4,0 km/h (1 Bft)","Max. 12:3010,9 km/h (2 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"6,6 °C","Max. 23:5010,6 °C","Min. 02:354,0 °C","8,3 °C","Max. 23:5011,2 °C","Min. 02:405,6 °C","13,5 km/h (3 Bft)","Max. 12:1037,0 km/h (5 Bft)"
9,10.01.2015,"12,0 °C","Min. 23:556,4 °C","Max. 12:2513,7 °C",91 %,Min. 12:2082 %,Max. 00:0096 %,"1017,0 hPa","Min. 19:201014,5 hPa","Max. 00:151019,1 hPa","5,0 l/m²","Max. 20:550,6 l/m²","5,0 km/h (1 Bft)","Max. 16:3510,1 km/h (2 Bft)",S-SW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","16,0 UV-I","Max. 00:0016,0 UV-I",0 W/m²,Max. 00:000 W/m²,"10,5 °C","Max. 05:5511,8 °C","Min. 23:555,5 °C","11,8 °C","Max. 12:5013,6 °C","Min. 23:556,4 °C","17,1 km/h (3 Bft)","Max. 15:4035,4 km/h (5 Bft)"
