,Datum,Temp. A.,Temp. A..1,Temp. A..2,Feuchte A.,Feuchte A..1,Feuchte A..2,Luftdruck,Luftdruck.1,Luftdruck.2,Regen,Regen.1,Wind,Wind.1,Richtung,Sonnenschein,Sonnenschein.1,ET,ET.1,UV,UV.1,Solar,Solar.1,Taupunkt,Taupunkt.1,Taupunkt.2,Windchill,Windchill.1,Windchill.2,Windböen,Windböen.1
0,01.01.2013,"6,5 °C","Min. 23:552,6 °C","Max. 15:557,9 °C",83 %,Min. 06:2068 %,Max. 11:4592 %,"1009,8 hPa","Min. 06:451007,6 hPa","Max. 23:551015,7 hPa","2,0 l/m²","Max. 08:500,2 l/m²","1,5 km/h (1 Bft)","Max. 19:554,6 km/h (1 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"3,7 °C","Max. 16:306,4 °C","Min. 23:551,1 °C","6,5 °C","Max. 16:007,9 °C","Min. 23:552,6 °C","6,4 km/h (2 Bft)","Max. 15:0017,7 km/h (3 Bft)"
1,02.01.2013,"3,3 °C","Min. 01:001,8 °C","Max. 14:056,6 °C",90 %,Min. 14:1082 %,Max. 04:2094 %,"1024,9 hPa","Min. 00:001015,8 hPa","Max. 23:301031,9 hPa","0,2 l/m²","Max. 00:500,2 l/m²","0,7 km/h (0 Bft)","Max. 06:503,7 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"1,8 °C","Max. 14:053,9 °C","Min. 01:000,5 °C","3,3 °C","Max. 14:056,6 °C","Min. 01:001,8 °C","3,8 km/h (1 Bft)","Max. 06:5011,3 km/h (2 Bft)"
2,03.01.2013,"4,2 °C","Min. 04:102,2 °C","Max. 23:206,4 °C",91 %,Min. 07:3580 %,Max. 10:0093 %,"1034,5 hPa","Min. 00:001031,8 hPa","Max. 23:001037,3 hPa","2,2 l/m²","Max. 08:500,4 l/m²","2,4 km/h (1 Bft)","Max. 07:305,9 km/h (2 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"2,8 °C","Max. 23:455,2 °C","Min. 04:100,6 °C","4,2 °C","Max. 23:256,4 °C","Min. 04:102,2 °C","8,1 km/h (2 Bft)","Max. 08:5016,1 km/h (3 Bft)"
3,04.01.2013,"7,7 °C","Min. 00:006,4 °C","Max. 15:308,8 °C",94 %,Min. 00:0092 %,Max. 17:5095 %,"1035,9 hPa","Min. 23:351033,4 hPa","Max. 01:401037,4 hPa","0,2 l/m²","Max. 17:400,2 l/m²","0,7 km/h (0 Bft)","Max. 15:304,4 km/h (1 Bft)",S,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"6,8 °C","Max. 21:007,8 °C","Min. 00:005,2 °C","7,7 °C","Max. 14:158,7 °C","Min. 00:006,4 °C","4,1 km/h (1 Bft)","Max. 15:3016,1 km/h (3 Bft)"
4,05.01.2013,"8,2 °C","Min. 23:407,6 °C","Max. 15:058,8 °C",89 %,Min. 12:5084 %,Max. 00:0095 %,"1033,0 hPa","Min. 05:351032,3 hPa","Max. 11:101033,6 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,5 km/h (0 Bft)","Max. 13:203,5 km/h (1 Bft)",NW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"6,5 °C","Max. 00:007,6 °C","Min. 23:455,7 °C","8,2 °C","Max. 15:058,8 °C","Min. 23:457,6 °C","3,9 km/h (1 Bft)","Max. 10:3011,3 km/h (2 Bft)"
5,06.01.2013,"7,4 °C","Min. 08:256,3 °C","Max. 14:058,3 °C",91 %,Min. 00:5087 %,Max. 07:1594 %,"1030,6 hPa","Min. 17:351029,2 hPa","Max. 00:001032,9 hPa","0,2 l/m²","Max. 07:500,2 l/m²","0,6 km/h (0 Bft)","Max. 13:253,5 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"6,0 °C","Max. 16:306,6 °C","Min. 08:255,4 °C","7,4 °C","Max. 14:058,3 °C","Min. 08:256,3 °C","4,1 km/h (1 Bft)","Max. 13:3512,9 km/h (3 Bft)"
6,07.01.2013,"7,1 °C","Min. 23:555,5 °C","Max. 14:559,5 °C",89 %,Min. 15:1579 %,Max. 08:5593 %,"1028,9 hPa","Min. 19:501027,5 hPa","Max. 00:051030,4 hPa","0,0 l/m²","Max. 00:000,0 l/m²","0,5 km/h (0 Bft)","Max. 13:203,8 km/h (1 Bft)",SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"5,4 °C","Max. 13:457,0 °C","Min. 23:554,2 °C","7,1 °C","Max. 14:559,5 °C","Min. 23:555,5 °C","2,7 km/h (1 Bft)","Max. 13:1511,3 km/h (2 Bft)"
7,08.01.2013,"5,1 °C","Min. 06:004,2 °C","Max. 11:455,9 °C",91 %,Min. 12:1587 %,Max. 09:4099 %,"1026,9 hPa","Min. 04:451025,8 hPa","Max. 00:001027,8 hPa","0,2 l/m²","Max. 16:500,2 l/m²","0,8 km/h (0 Bft)","Max. 01:003,3 km/h (1 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"3,8 °C","Max. 09:404,9 °C","Min. 22:353,1 °C","5,1 °C","Max. 11:455,9 °C","Min. 06:004,2 °C","4,3 km/h (1 Bft)","Max. 04:359,7 km/h (2 Bft)"
8,09.01.2013,"3,7 °C","Min. 21:002,3 °C","Max. 00:004,6 °C",90 %,Min. 12:3085 %,Max. 21:0094 %,"1022,3 hPa","Min. 23:151018,4 hPa","Max. 00:001026,6 hPa","0,8 l/m²","Max. 18:350,2 l/m²","0,9 km/h (0 Bft)","Max. 10:503,0 km/h (1 Bft)",S-SO,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"2,2 °C","Max. 00:003,1 °C","Min. 20:351,4 °C","3,7 °C","Max. 00:004,6 °C","Min. 21:002,3 °C","4,8 km/h (1 Bft)","Max. 06:459,7 km/h (2 Bft)"
9,10.01.2013,"3,1 °C","Min. 22:202,1 °C","Max. 13:404,3 °C",93 %,Min. 13:5590 %,Max. 00:0094 %,"1014,7 hPa","Min. 23:501011,5 hPa","Max. 00:001018,5 hPa","0,2 l/m²","Max. 00:100,2 l/m²","1,0 km/h (0 Bft)","Max. 13:503,3 km/h (1 Bft)",S-SW,"0,00 h","Max. 00:000,00 h","0,000 mm","Max. 00:000,000 mm","0,0 UV-I","Max. 00:000,0 UV-I",0 W/m²,Max. 00:000 W/m²,"2,0 °C","Max. 13:403,1 °C","Min. 22:201,1 °C","3,1 °C","Max. 13:404,3 °C","Min. 22:202,1 °C","4,9 km/h (1 Bft)","Max. 14:2014,5 km/h (3 Bft)"
